#policy P10 P30 P50 P70 P90 filtersize stagingsize
merlin-0.05-0.01-1.00-32-1.0 -0.011 -0.004 0.000 0.007 0.038 5 1
merlin-0.10-0.01-1.00-32-1.0 -0.011 -0.003 0.000 0.005 0.033 10 1
merlin-0.15-0.01-1.00-32-1.0 -0.013 -0.004 -0.000 0.003 0.028 15 1
merlin-0.05-0.05-1.00-32-1.0 -0.011 -0.004 0.000 0.007 0.038 5 5
merlin-0.10-0.05-1.00-32-1.0 -0.011 -0.003 0.000 0.005 0.032 10 5
merlin-0.15-0.05-1.00-32-1.0 -0.014 -0.004 -0.000 0.003 0.028 15 5
merlin-0.05-0.10-1.00-32-1.0 -0.011 -0.004 0.000 0.007 0.038 5 10
merlin-0.10-0.10-1.00-32-1.0 -0.011 -0.003 0.000 0.005 0.033 10 10
merlin-0.15-0.10-1.00-32-1.0 -0.014 -0.004 -0.000 0.004 0.028 15 10
