 P10 P30 P50 P70 P90 filtersize stagingsize
flex-0.05-0.01-2.00 0.000 0.012 0.030 0.070 0.163 5 1
flex-0.10-0.01-2.00 0.005 0.019 0.038 0.077 0.162 10 1
flex-0.15-0.01-2.00 0.006 0.020 0.039 0.074 0.154 15 1
flex-0.05-0.05-2.00 0.000 0.012 0.031 0.071 0.163 5 5
flex-0.10-0.05-2.00 0.005 0.019 0.038 0.077 0.163 10 5
flex-0.15-0.05-2.00 0.006 0.020 0.039 0.074 0.156 15 5
flex-0.05-0.10-2.00 0.000 0.012 0.030 0.071 0.165 5 10
flex-0.10-0.10-2.00 0.004 0.018 0.038 0.077 0.165 10 10
flex-0.15-0.10-2.00 0.005 0.020 0.039 0.075 0.161 15 10
