 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.661 0.521 0.189 0.724 0.189 0.221 0.220 0.176 0.196
P3 0.795 0.783 0.469 0.844 0.439 0.495 0.496 0.317 0.488
P5 0.855 0.836 0.611 0.872 0.596 0.755 0.696 0.449 0.637
P10 0.906 0.891 0.785 0.907 0.775 0.899 0.863 0.626 0.793
P30 0.971 0.964 0.914 0.968 0.918 0.959 0.947 0.847 0.915
P50 0.990 0.987 0.959 0.985 0.959 0.985 0.972 0.905 0.959
