 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.625 0.143 0.013 0.455 0.014 0.592 0.676 0.142 0.014
P3 0.716 0.369 0.195 0.660 0.119 0.788 0.754 0.171 0.195
P5 0.830 0.432 0.430 0.681 0.328 0.798 0.804 0.440 0.451
P10 0.911 0.686 0.609 0.819 0.487 0.871 0.859 0.541 0.616
P30 0.970 0.917 0.877 0.926 0.787 0.958 0.934 0.780 0.875
P50 0.985 0.972 0.939 0.969 0.901 0.983 0.969 0.861 0.939
