 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.856 0.717 0.608 0.865 0.583 0.884 0.868 0.699 0.617
P3 0.903 0.874 0.846 0.911 0.832 0.926 0.919 0.775 0.844
P5 0.918 0.900 0.885 0.929 0.863 0.940 0.942 0.797 0.877
P10 0.942 0.931 0.925 0.951 0.908 0.957 0.964 0.845 0.916
P30 0.984 0.981 0.981 0.987 0.977 0.986 0.986 0.950 0.979
P50 0.994 0.993 0.990 0.994 0.993 0.992 0.995 0.976 0.989
