 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.288 0.186 0.092 0.363 0.094 0.212 0.213 0.162 0.092
P3 0.592 0.465 0.239 0.700 0.220 0.343 0.342 0.260 0.239
P5 0.735 0.643 0.381 0.821 0.362 0.468 0.454 0.341 0.395
P10 0.872 0.853 0.673 0.904 0.594 0.722 0.635 0.507 0.688
P30 0.979 0.974 0.923 0.974 0.920 0.908 0.859 0.813 0.925
P50 0.996 0.994 0.959 0.990 0.970 0.959 0.924 0.899 0.959
