 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.824 0.510 0.459 0.745 0.437 0.794 0.771 0.406 0.459
P3 0.885 0.755 0.635 0.862 0.625 0.911 0.832 0.626 0.644
P5 0.902 0.771 0.728 0.867 0.689 0.935 0.876 0.717 0.717
P10 0.923 0.858 0.766 0.912 0.734 0.953 0.918 0.760 0.765
P30 0.964 0.952 0.936 0.977 0.922 0.978 0.965 0.838 0.942
P50 0.978 0.984 0.976 0.991 0.973 0.988 0.981 0.892 0.975
