 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
P1 0.884 0.851 0.724 0.854 0.657 0.880 0.831 0.658 0.733 0.605
P3 0.913 0.910 0.843 0.889 0.790 0.922 0.895 0.735 0.842 0.749
P5 0.924 0.922 0.870 0.901 0.828 0.933 0.920 0.759 0.867 0.785
P10 0.940 0.939 0.904 0.925 0.870 0.947 0.950 0.799 0.896 0.830
P30 0.977 0.977 0.960 0.976 0.946 0.978 0.983 0.901 0.958 0.893
P50 0.990 0.990 0.979 0.989 0.982 0.989 0.993 0.937 0.976 0.935
