 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.754 0.570 0.369 0.623 0.374 0.719 0.636 0.452 0.392
P3 0.884 0.740 0.663 0.810 0.583 0.905 0.803 0.611 0.676
P5 0.904 0.778 0.734 0.823 0.668 0.921 0.860 0.666 0.739
P10 0.923 0.810 0.801 0.857 0.761 0.934 0.909 0.720 0.798
P30 0.962 0.968 0.917 0.960 0.832 0.969 0.958 0.823 0.915
P50 0.977 0.983 0.964 0.985 0.938 0.985 0.981 0.879 0.966
