 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.788 0.673 0.488 0.784 0.392 0.834 0.754 0.455 0.495
P3 0.859 0.821 0.706 0.851 0.677 0.881 0.854 0.647 0.707
P5 0.882 0.874 0.749 0.874 0.721 0.903 0.894 0.715 0.749
P10 0.933 0.926 0.833 0.899 0.792 0.932 0.928 0.772 0.831
P30 0.977 0.975 0.945 0.966 0.923 0.972 0.973 0.861 0.943
P50 0.990 0.989 0.974 0.986 0.974 0.989 0.990 0.918 0.973
