 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
P1 0.690 0.123 0.143 0.621 0.070 0.649 0.614 0.330 0.143 0.490
P3 0.751 0.243 0.283 0.643 0.191 0.741 0.798 0.340 0.283 0.550
P5 0.791 0.474 0.370 0.705 0.310 0.827 0.853 0.428 0.390 0.619
P10 0.852 0.738 0.599 0.771 0.414 0.849 0.870 0.521 0.585 0.645
P30 0.954 0.872 0.837 0.935 0.787 0.971 0.944 0.827 0.833 0.802
P50 0.975 0.969 0.940 0.977 0.893 0.988 0.974 0.887 0.943 0.865
