 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.419 0.290 0.124 0.366 0.108 0.175 0.166 0.225 0.125
P3 0.630 0.540 0.298 0.626 0.312 0.325 0.298 0.345 0.302
P5 0.748 0.678 0.417 0.749 0.420 0.412 0.378 0.438 0.427
P10 0.875 0.841 0.653 0.884 0.641 0.553 0.478 0.549 0.660
P30 0.973 0.974 0.917 0.953 0.902 0.789 0.692 0.775 0.918
P50 0.990 0.992 0.954 0.983 0.949 0.877 0.801 0.864 0.953
