 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
P1 0.682 0.379 0.331 0.640 0.118 0.564 0.561 0.272 0.349 0.389
P3 0.862 0.787 0.592 0.824 0.407 0.833 0.723 0.467 0.601 0.516
P5 0.892 0.850 0.761 0.854 0.468 0.875 0.791 0.564 0.777 0.534
P10 0.924 0.902 0.836 0.870 0.625 0.893 0.850 0.608 0.849 0.575
P30 0.970 0.952 0.926 0.945 0.859 0.960 0.933 0.786 0.927 0.784
P50 0.986 0.975 0.960 0.973 0.932 0.981 0.972 0.876 0.962 0.873
