 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.404 0.171 0.112 0.302 0.023 0.270 0.244 0.134 0.113
P3 0.564 0.315 0.254 0.515 0.152 0.484 0.317 0.243 0.263
P5 0.679 0.474 0.355 0.535 0.289 0.585 0.378 0.418 0.355
P10 0.789 0.780 0.566 0.610 0.418 0.607 0.505 0.479 0.613
P30 0.974 0.968 0.928 0.949 0.889 0.840 0.819 0.761 0.931
P50 0.990 0.990 0.969 0.981 0.946 0.918 0.907 0.879 0.968
