 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.848 0.713 0.588 0.813 0.501 0.846 0.805 0.576 0.595
P3 0.899 0.852 0.751 0.866 0.710 0.914 0.879 0.715 0.759
P5 0.916 0.900 0.825 0.889 0.769 0.930 0.908 0.746 0.825
P10 0.935 0.928 0.883 0.917 0.845 0.946 0.943 0.784 0.880
P30 0.973 0.970 0.953 0.973 0.934 0.978 0.981 0.890 0.952
P50 0.988 0.988 0.977 0.989 0.978 0.989 0.993 0.935 0.974
