 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.688 0.077 0.103 0.586 0.046 0.704 0.702 0.197 0.103
P3 0.776 0.135 0.157 0.680 0.122 0.844 0.865 0.259 0.157
P5 0.836 0.293 0.326 0.690 0.271 0.903 0.876 0.389 0.327
P10 0.869 0.715 0.537 0.849 0.503 0.933 0.906 0.527 0.563
P30 0.951 0.913 0.905 0.953 0.887 0.981 0.957 0.894 0.906
P50 0.984 0.978 0.985 0.981 0.978 0.995 0.979 0.945 0.986
