 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.846 0.599 0.447 0.858 0.425 0.910 0.850 0.579 0.466
P3 0.910 0.838 0.836 0.931 0.806 0.943 0.919 0.765 0.855
P5 0.935 0.888 0.893 0.942 0.883 0.955 0.934 0.779 0.894
P10 0.955 0.913 0.913 0.957 0.904 0.963 0.955 0.810 0.912
P30 0.977 0.979 0.974 0.990 0.973 0.983 0.979 0.915 0.974
P50 0.993 0.993 0.989 0.994 0.993 0.991 0.989 0.970 0.989
