 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
P1 0.415 0.264 0.113 0.344 0.091 0.247 0.229 0.191 0.115 0.088
P3 0.610 0.489 0.269 0.544 0.270 0.373 0.332 0.326 0.279 0.255
P5 0.737 0.660 0.396 0.702 0.398 0.462 0.412 0.422 0.409 0.341
P10 0.858 0.820 0.611 0.870 0.595 0.600 0.508 0.531 0.626 0.450
P30 0.972 0.975 0.914 0.949 0.894 0.809 0.720 0.769 0.916 0.726
P50 0.990 0.993 0.954 0.979 0.944 0.888 0.824 0.854 0.953 0.817
