 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.552 0.082 0.120 0.325 0.013 0.536 0.512 0.283 0.207
P3 0.629 0.389 0.322 0.676 0.214 0.687 0.711 0.382 0.322
P5 0.817 0.557 0.497 0.825 0.340 0.805 0.758 0.415 0.497
P10 0.888 0.750 0.628 0.835 0.497 0.857 0.793 0.522 0.697
P30 0.966 0.942 0.855 0.935 0.806 0.927 0.921 0.742 0.867
P50 0.986 0.978 0.939 0.965 0.895 0.970 0.977 0.842 0.943
