 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.259 0.183 0.087 0.355 0.098 0.201 0.203 0.160 0.085
P3 0.573 0.461 0.227 0.721 0.231 0.327 0.325 0.256 0.226
P5 0.715 0.635 0.364 0.829 0.361 0.433 0.422 0.326 0.380
P10 0.866 0.845 0.644 0.922 0.601 0.683 0.609 0.497 0.662
P30 0.980 0.976 0.924 0.979 0.931 0.906 0.855 0.820 0.926
P50 0.997 0.995 0.959 0.992 0.974 0.958 0.919 0.904 0.959
