 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.655 0.478 0.195 0.687 0.166 0.237 0.236 0.182 0.212
P3 0.802 0.772 0.478 0.837 0.433 0.556 0.553 0.335 0.495
P5 0.861 0.836 0.629 0.865 0.562 0.795 0.720 0.467 0.651
P10 0.909 0.892 0.789 0.899 0.755 0.896 0.859 0.621 0.801
P30 0.971 0.963 0.915 0.965 0.911 0.959 0.946 0.841 0.917
P50 0.989 0.986 0.959 0.984 0.957 0.984 0.972 0.903 0.959
