 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.867 0.824 0.773 0.881 0.713 0.887 0.874 0.754 0.762
P3 0.903 0.887 0.859 0.915 0.843 0.926 0.923 0.782 0.851
P5 0.918 0.906 0.890 0.930 0.869 0.940 0.946 0.803 0.879
P10 0.941 0.935 0.928 0.952 0.912 0.955 0.967 0.853 0.919
P30 0.985 0.981 0.981 0.987 0.978 0.986 0.987 0.953 0.980
P50 0.994 0.993 0.990 0.994 0.993 0.992 0.995 0.976 0.989
