 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR GLCache
P1 0.487 0.171 0.090 0.496 0.036 0.327 0.382 0.117 0.095 0.287
P3 0.776 0.395 0.234 0.628 0.108 0.720 0.647 0.321 0.234 0.338
P5 0.837 0.727 0.568 0.794 0.357 0.730 0.699 0.358 0.566 0.365
P10 0.908 0.824 0.717 0.828 0.625 0.796 0.754 0.460 0.733 0.437
P30 0.964 0.962 0.835 0.930 0.815 0.903 0.900 0.715 0.847 0.662
P50 0.990 0.988 0.932 0.968 0.913 0.946 0.959 0.815 0.937 0.772
