 merlin S3FIFO ARC Cacheus LeCaR LIRS WTinyLFU GDSF CAR
P1 0.780 0.622 0.452 0.754 0.376 0.811 0.742 0.444 0.462
P3 0.861 0.790 0.689 0.832 0.647 0.880 0.847 0.637 0.693
P5 0.886 0.849 0.744 0.862 0.709 0.904 0.886 0.699 0.746
P10 0.930 0.918 0.821 0.894 0.784 0.932 0.924 0.764 0.818
P30 0.975 0.973 0.942 0.965 0.914 0.972 0.971 0.857 0.940
P50 0.989 0.988 0.974 0.986 0.971 0.988 0.989 0.912 0.972
