#file,merlin-0.01-0.01-0.25-32-1.0,merlin-0.01-0.01-0.50-32-1.0,merlin-0.01-0.01-1.00-32-1.0,merlin-0.01-0.01-2.00-32-1.0,merlin-0.01-0.05-0.25-32-1.0,merlin-0.01-0.05-0.50-32-1.0,merlin-0.01-0.05-1.00-32-1.0,merlin-0.01-0.05-2.00-32-1.0,merlin-0.01-0.10-0.25-32-1.0,merlin-0.01-0.10-0.50-32-1.0,merlin-0.01-0.10-1.00-32-1.0,merlin-0.01-0.10-2.00-32-1.0,merlin-0.05-0.01-0.25-32-1.0,merlin-0.05-0.01-0.50-32-1.0,merlin-0.05-0.01-1.00-32-1.0,merlin-0.05-0.01-2.00-32-1.0,merlin-0.05-0.05-0.25-32-1.0,merlin-0.05-0.05-0.50-32-1.0,merlin-0.05-0.05-1.00-32-1.0,merlin-0.05-0.05-2.00-32-1.0,merlin-0.05-0.10-0.25-32-1.0,merlin-0.05-0.10-0.50-32-1.0,merlin-0.05-0.10-1.00-32-1.0,merlin-0.05-0.10-2.00-32-1.0,merlin-0.10-0.01-0.25-32-1.0,merlin-0.10-0.01-0.50-32-1.0,merlin-0.10-0.01-1.00-32-1.0,merlin-0.10-0.01-2.00-32-1.0,merlin-0.10-0.05-0.25-32-1.0,merlin-0.10-0.05-0.50-32-1.0,merlin-0.10-0.05-1.00-32-1.0,merlin-0.10-0.05-2.00-32-1.0,merlin-0.10-0.10-0.25-32-1.0,merlin-0.10-0.10-0.50-32-1.0,merlin-0.10-0.10-1.00-32-1.0,merlin-0.10-0.10-2.00-32-1.0,merlin-0.15-0.01-0.25-32-1.0,merlin-0.15-0.01-0.50-32-1.0,merlin-0.15-0.01-1.00-32-1.0,merlin-0.15-0.01-2.00-32-1.0,merlin-0.15-0.05-0.25-32-1.0,merlin-0.15-0.05-0.50-32-1.0,merlin-0.15-0.05-1.00-32-1.0,merlin-0.15-0.05-2.00-32-1.0,merlin-0.15-0.10-0.25-32-1.0,merlin-0.15-0.10-0.50-32-1.0,merlin-0.15-0.10-1.00-32-1.0,merlin-0.15-0.10-2.00-32-1.0
wiki_2016u.oracleGeneral.zst_2803498585,0.363,0.3668,0.3722,0.3804,0.363,0.3668,0.3722,0.3803,0.3573,0.3668,0.3722,0.3804,0.3649,0.3689,0.3744,0.3827,0.3649,0.369,0.3744,0.3827,0.3593,0.369,0.3745,0.3828,0.3683,0.3725,0.378,0.3865,0.3683,0.3725,0.378,0.3866,0.3625,0.3726,0.3781,0.3867,0.3726,0.3767,0.3823,0.3911,0.3727,0.3768,0.3824,0.3912,0.3663,0.3768,0.3825,0.3913
wiki_2019t.oracleGeneral.zst_207646002,0.5966,0.5964,0.5978,0.6022,0.5965,0.5962,0.5976,0.602,0.5964,0.5962,0.5976,0.6019,0.5925,0.5928,0.5951,0.6,0.5925,0.5928,0.595,0.5999,0.5924,0.5928,0.595,0.5999,0.5917,0.5925,0.5953,0.6008,0.5917,0.5925,0.5952,0.6008,0.5917,0.5925,0.5952,0.6008,0.593,0.5942,0.5974,0.6034,0.5931,0.5942,0.5974,0.6034,0.5931,0.5943,0.5974,0.6034
wiki_2019u.oracleGeneral.zst_2655612611,0.5254,0.528,0.5335,0.5429,0.5254,0.528,0.5336,0.5429,0.5254,0.5281,0.5336,0.5429,0.527,0.53,0.5358,0.5454,0.5271,0.53,0.5359,0.5454,0.5271,0.5301,0.5359,0.5455,0.5304,0.5337,0.5397,0.5495,0.5305,0.5337,0.5398,0.5496,0.5305,0.5338,0.5399,0.5496,0.5344,0.5379,0.5442,0.5541,0.5345,0.538,0.5442,0.5542,0.5345,0.5381,0.5443,0.5542
