#file,merlin-0.01-0.01-0.25-32-1.0,merlin-0.01-0.01-0.50-32-1.0,merlin-0.01-0.01-1.00-32-1.0,merlin-0.01-0.01-2.00-32-1.0,merlin-0.01-0.05-0.25-32-1.0,merlin-0.01-0.05-0.50-32-1.0,merlin-0.01-0.05-1.00-32-1.0,merlin-0.01-0.05-2.00-32-1.0,merlin-0.01-0.10-0.25-32-1.0,merlin-0.01-0.10-0.50-32-1.0,merlin-0.01-0.10-1.00-32-1.0,merlin-0.01-0.10-2.00-32-1.0,merlin-0.05-0.01-0.25-32-1.0,merlin-0.05-0.01-0.50-32-1.0,merlin-0.05-0.01-1.00-32-1.0,merlin-0.05-0.01-2.00-32-1.0,merlin-0.05-0.05-0.25-32-1.0,merlin-0.05-0.05-0.50-32-1.0,merlin-0.05-0.05-1.00-32-1.0,merlin-0.05-0.05-2.00-32-1.0,merlin-0.05-0.10-0.25-32-1.0,merlin-0.05-0.10-0.50-32-1.0,merlin-0.05-0.10-1.00-32-1.0,merlin-0.05-0.10-2.00-32-1.0,merlin-0.10-0.01-0.25-32-1.0,merlin-0.10-0.01-0.50-32-1.0,merlin-0.10-0.01-1.00-32-1.0,merlin-0.10-0.01-2.00-32-1.0,merlin-0.10-0.05-0.25-32-1.0,merlin-0.10-0.05-0.50-32-1.0,merlin-0.10-0.05-1.00-32-1.0,merlin-0.10-0.05-2.00-32-1.0,merlin-0.10-0.10-0.25-32-1.0,merlin-0.10-0.10-0.50-32-1.0,merlin-0.10-0.10-1.00-32-1.0,merlin-0.10-0.10-2.00-32-1.0,merlin-0.15-0.01-0.25-32-1.0,merlin-0.15-0.01-0.50-32-1.0,merlin-0.15-0.01-1.00-32-1.0,merlin-0.15-0.01-2.00-32-1.0,merlin-0.15-0.05-0.25-32-1.0,merlin-0.15-0.05-0.50-32-1.0,merlin-0.15-0.05-1.00-32-1.0,merlin-0.15-0.05-2.00-32-1.0,merlin-0.15-0.10-0.25-32-1.0,merlin-0.15-0.10-0.50-32-1.0,merlin-0.15-0.10-1.00-32-1.0,merlin-0.15-0.10-2.00-32-1.0
wiki_2016u.oracleGeneral.zst_2803498585,0.245,0.249,0.2549,0.2635,0.2451,0.249,0.255,0.2636,0.2387,0.249,0.255,0.2636,0.2483,0.2523,0.2583,0.2669,0.2483,0.2523,0.2583,0.2669,0.2416,0.2523,0.2583,0.2669,0.2519,0.2559,0.2619,0.2706,0.252,0.2559,0.262,0.2706,0.252,0.2559,0.262,0.2707,0.2559,0.26,0.2662,0.2749,0.2559,0.26,0.2662,0.2749,0.2559,0.26,0.2662,0.2749
wiki_2019t.oracleGeneral.zst_207646002,0.4424,0.4428,0.445,0.4504,0.4423,0.4426,0.4449,0.4502,0.4422,0.4426,0.4448,0.4501,0.4375,0.4387,0.4418,0.448,0.4374,0.4386,0.4417,0.4479,0.4374,0.4386,0.4417,0.4479,0.4385,0.4402,0.4439,0.4507,0.4385,0.4402,0.4438,0.4507,0.4385,0.4402,0.4439,0.4507,0.4413,0.4434,0.4475,0.4547,0.4413,0.4434,0.4475,0.4547,0.4414,0.4434,0.4475,0.4548
wiki_2019u.oracleGeneral.zst_2655612611,0.3704,0.374,0.3807,0.3921,0.3704,0.374,0.3807,0.3921,0.3705,0.374,0.3808,0.3922,0.3726,0.3765,0.3836,0.3953,0.3726,0.3765,0.3836,0.3953,0.3727,0.3766,0.3837,0.3954,0.3768,0.3809,0.3883,0.4002,0.3768,0.3809,0.3884,0.4003,0.3768,0.381,0.3884,0.4003,0.3814,0.3858,0.3935,0.4055,0.3815,0.3858,0.3935,0.4056,0.3815,0.3859,0.3936,0.4056
