#file,size,FIFO,ARC,Cacheus,CAR,LHD,GDSF,TwoQ,S4LRU,Hyperbolic,LeCaR,WTinyLFU,Belady,Clock,LIRS,FIFOMerge,S3FIFO,QDLP,LRU,LFU,GLCache,Sieve,merlin
w91.oracleGeneral.bin.zst_4316605,1608000000.0,0.4299,0.4058,0.3816,0.3859,0.4469,0.3843,0.3994,0.3734,0.4047,0.414,0.3884,0.2906,0.4173,0.3873,0.4279,0.3764,0.3785,0.419,0.391,0.4351,0.391,0.3821
w79.oracleGeneral.bin.zst_5411394,6000000000.0,0.9413,0.9319,0.9377,0.9319,0.9458,0.9338,0.9347,0.9277,0.9329,0.9341,0.9365,0.893,0.9337,0.934,0.9342,0.9328,0.9319,0.9353,0.932,0.935,0.932,0.9275
w41.oracleGeneral.bin.zst_17004738,953000000.0,0.2105,0.1635,0.1685,0.1636,0.1812,0.1909,0.1658,0.1692,0.2042,0.1787,0.1518,0.1263,0.1968,0.1601,0.2072,0.16,0.1595,0.2006,0.1813,0.2157,0.1645,0.158
w72.oracleGeneral.bin.zst_6407185,711000000.0,0.4298,0.4032,0.3861,0.405,0.5109,0.4194,0.3862,0.3905,0.4185,0.4215,0.3612,0.2559,0.4166,0.4226,0.4393,0.3754,0.3767,0.4167,0.414,0.4871,0.3678,0.3927
w10.oracleGeneral.bin.zst_48342350,145000000000.0,0.8321,0.8224,0.747,0.8181,0.7859,0.7888,0.8118,0.7628,0.8278,0.8229,0.7493,0.5865,0.8292,0.755,0.7978,0.7863,0.7728,0.8312,0.7889,0.7963,0.7889,0.7529
w08.oracleGeneral.bin.zst_44464937,101000000000.0,0.9167,0.882,0.8435,0.8719,0.8826,0.8782,0.8808,0.847,0.9138,0.9164,0.8306,0.6925,0.9159,0.8457,0.9055,0.8604,0.8545,0.916,0.8793,0.8545,0.8793,0.8441
w103.oracleGeneral.bin.zst_3442094,781000000.0,0.3358,0.3097,0.3121,0.3092,0.4443,0.3572,0.2984,0.307,0.3275,0.3178,0.3066,0.2247,0.3189,0.2983,0.3421,0.3012,0.2965,0.3223,0.392,0.3555,0.2992,0.3071
w58.oracleGeneral.bin.zst_10530695,3000000000.0,0.5165,0.4769,0.4081,0.4603,0.5079,0.4633,0.4946,0.4185,0.5111,0.5032,0.4278,0.3159,0.5111,0.4162,0.46,0.462,0.4545,0.5165,0.4801,0.4693,0.4608,0.4146
w52.oracleGeneral.bin.zst_11451546,748000000.0,0.4149,0.3419,0.2957,0.3336,0.4021,0.3822,0.3301,0.3419,0.3949,0.3622,0.2895,0.2285,0.3866,0.3121,0.4084,0.3039,0.309,0.3918,0.3667,0.4171,0.3772,0.3138
w16.oracleGeneral.bin.zst_26702188,8000000000.0,0.6724,0.602,0.598,0.6042,0.7746,0.6821,0.6311,0.5961,0.651,0.6559,0.611,0.5367,0.6581,0.6037,0.6884,0.6017,0.597,0.666,0.6038,0.6591,0.6038,0.5977
w40.oracleGeneral.bin.zst_17657232,668000000.0,0.1722,0.1577,0.1543,0.1565,0.1847,0.2187,0.1299,0.1625,0.1724,0.1594,0.125,0.0852,0.1639,0.1504,0.2031,0.1304,0.1464,0.1573,0.2131,0.2208,0.147,0.1444
w25.oracleGeneral.bin.zst_26569398,15000000000.0,0.4086,0.27,0.2483,0.2699,0.2738,0.2687,0.2629,0.2821,0.3915,0.2139,0.2355,0.1856,0.3574,0.3114,0.4017,0.2993,0.2948,0.3785,0.2615,0.5531,0.2525,0.2211
w38.oracleGeneral.bin.zst_18535323,2812000000.0,0.6156,0.548,0.5516,0.544,0.669,0.6113,0.5532,0.5659,0.6019,0.5678,0.5773,0.4471,0.6018,0.5455,0.6078,0.5213,0.5255,0.6059,0.6193,0.5911,0.5435,0.525
