#file,size,ARC,Belady,CAR,Cacheus,Clock,FIFO,FIFOMerge,GDSF,GLCache,Hyperbolic,LFU,LHD,LIRS,LRU,LeCaR,QDLP,S3FIFO,Sieve,TwoQ,WTinyLFU,merlin
w34.oracleGeneral.bin.zst,44023414784,0.6287,0.3369,0.6112,0.5063,0.5728,0.5927,0.527,0.5502,0.5384,0.5804,0.5946,0.6261,0.5061,0.5906,0.5725,0.501,0.5035,0.5792,0.5739,0.5146,0.4732
w82.oracleGeneral.bin.zst,529530880,0.6483,0.2589,0.6253,0.3817,0.6292,0.6568,0.4755,0.4202,0.4767,0.5896,0.5601,0.4527,0.3339,0.6508,0.6281,0.466,0.4657,0.559,0.4258,0.3522,0.4534
w94.oracleGeneral.bin.zst,10737418240,0.5321,0.2413,0.5103,0.3883,0.4896,0.5015,0.4463,0.5121,0.4809,0.4836,0.5254,0.5195,0.3962,0.5075,0.5057,0.4283,0.4259,0.4834,0.4322,0.3822,0.3974
w22.oracleGeneral.bin.zst,13958643712,0.7097,0.5599,0.7097,0.7099,0.7203,0.7268,0.7067,0.7241,0.6788,0.7176,0.7099,0.7391,0.5938,0.7245,0.7231,0.7077,0.7119,0.7099,0.7199,0.6191,0.6106
w10.oracleGeneral.bin.zst,312458870784,0.7133,0.4188,0.7162,0.5883,0.7871,0.8201,0.667,0.7256,0.6953,0.7763,0.7411,0.663,0.5803,0.8121,0.8104,0.6714,0.6731,0.7411,0.6915,0.6174,0.6425
w06.oracleGeneral.bin.zst,4294967296,0.0271,0.0237,0.0271,0.027,0.0261,0.0295,0.0354,0.0282,0.0318,0.0282,0.0331,0.0374,0.0291,0.0263,0.026,0.0262,0.0261,0.0275,0.0285,0.0307,0.0268
w68.oracleGeneral.bin.zst,4294967296,0.1726,0.1398,0.1727,0.1721,0.1877,0.2365,0.2071,0.1963,0.2106,0.196,0.1796,0.2273,0.1709,0.1991,0.1942,0.1685,0.1731,0.1796,0.188,0.1744,0.1684
w44.oracleGeneral.bin.zst,3221225472,0.6564,0.551,0.6566,0.6639,0.7398,0.7524,0.7272,0.7908,0.6917,0.7401,0.6753,0.7239,0.6323,0.7434,0.7361,0.6545,0.697,0.6753,0.7165,0.6865,0.6449
w52.oracleGeneral.bin.zst,1073741824,0.229,0.1478,0.2202,0.2081,0.2526,0.3027,0.2699,0.2347,0.3001,0.2544,0.1981,0.2769,0.1926,0.2592,0.2373,0.2064,0.2061,0.1972,0.2233,0.1893,0.2044
w102.oracleGeneral.bin.zst,1073741824,0.2377,0.1655,0.2429,0.2398,0.2572,0.279,0.2823,0.2588,0.2671,0.279,0.3759,0.3268,0.2335,0.2639,0.2515,0.2315,0.2336,0.2396,0.2417,0.2296,0.2374
